grouping_mode,temp_group,bin_min_temp_k,bin_max_temp_k,available_rows,selected_rows,selected_min_flow,selected_max_flow
exact_temperature,373.15,373.15,373.15,100,2,0.5,5.0
exact_temperature,375.17,375.17,375.17,100,2,0.5,5.0
exact_temperature,377.19,377.19,377.19,100,2,0.5,5.0
exact_temperature,379.211,379.211,379.211,100,2,0.5,5.0
exact_temperature,381.231,381.231,381.231,100,2,0.5,5.0
exact_temperature,383.251,383.251,383.251,100,2,0.5,5.0
exact_temperature,385.271,385.271,385.271,100,2,0.5,5.0
exact_temperature,387.291,387.291,387.291,100,2,0.5,5.0
exact_temperature,389.312,389.312,389.312,100,2,0.5,5.0
exact_temperature,391.332,391.332,391.332,100,2,0.5,5.0
exact_temperature,393.352,393.352,393.352,100,2,0.5,5.0
exact_temperature,395.372,395.372,395.372,100,2,0.5,5.0
exact_temperature,397.392,397.392,397.392,100,2,0.5,5.0
exact_temperature,399.413,399.413,399.413,100,2,0.5,5.0
exact_temperature,401.433,401.433,401.433,100,2,0.5,5.0
exact_temperature,403.453,403.453,403.453,100,2,0.5,5.0
exact_temperature,405.473,405.473,405.473,100,2,0.5,5.0
exact_temperature,407.493,407.493,407.493,100,2,0.5,5.0
exact_temperature,409.514,409.514,409.514,100,2,0.5,5.0
exact_temperature,411.534,411.534,411.534,100,2,0.5,5.0
exact_temperature,413.554,413.554,413.554,100,2,0.5,5.0
exact_temperature,415.574,415.574,415.574,100,2,0.5,5.0
exact_temperature,417.594,417.594,417.594,100,2,0.5,5.0
exact_temperature,419.615,419.615,419.615,100,2,0.5,5.0
exact_temperature,421.635,421.635,421.635,100,2,0.5,5.0
exact_temperature,423.655,423.655,423.655,100,1,4.68182,4.68182
exact_temperature,425.675,425.675,425.675,100,1,1.86364,1.86364
exact_temperature,427.695,427.695,427.695,100,1,3.59091,3.59091
exact_temperature,429.716,429.716,429.716,100,1,0.772727,0.772727
exact_temperature,431.736,431.736,431.736,100,1,2.5,2.5
exact_temperature,433.756,433.756,433.756,100,1,4.22727,4.22727
exact_temperature,435.776,435.776,435.776,100,1,1.40909,1.40909
